--- Recording Logitech F310 Activity from /dev/input/js0 ---
--- Press Ctrl+C to exit ---

[INIT]  | Type: Button | ID: 0  | Name: A     | Action: RELEASED
[INIT]  | Type: Button | ID: 1  | Name: B     | Action: RELEASED
[INIT]  | Type: Button | ID: 2  | Name: X     | Action: RELEASED
[INIT]  | Type: Button | ID: 3  | Name: Y     | Action: RELEASED
[INIT]  | Type: Button | ID: 4  | Name: LB    | Action: RELEASED
[INIT]  | Type: Button | ID: 5  | Name: RB    | Action: RELEASED
[INIT]  | Type: Button | ID: 6  | Name: Back  | Action: RELEASED
[INIT]  | Type: Button | ID: 7  | Name: Start | Action: RELEASED
[INIT]  | Type: Button | ID: 8  | Name: Logi  | Action: RELEASED
[INIT]  | Type: Button | ID: 9  | Name: L3    | Action: RELEASED
[INIT]  | Type: Button | ID: 10 | Name: R3    | Action: RELEASED
[INIT]  | Type: Axis   | ID: 0  | Value: 0
[INIT]  | Type: Axis   | ID: 1  | Value: -2
[INIT]  | Type: Axis   | ID: 2  | Value: -32767
[INIT]  | Type: Axis   | ID: 3  | Value: 0
[INIT]  | Type: Axis   | ID: 4  | Value: -2
[INIT]  | Type: Axis   | ID: 5  | Value: -32767
[INIT]  | Type: Axis   | ID: 6  | Value: 0
[INIT]  | Type: Axis   | ID: 7  | Value: 0
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: PRESSED
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: RELEASED
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: PRESSED
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: RELEASED
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: PRESSED
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: RELEASED
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: PRESSED
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: RELEASED
 EVENT  | Type: Button | ID: 4  | Name: LB    | Action: PRESSED
 EVENT  | Type: Button | ID: 4  | Name: LB    | Action: RELEASED
 EVENT  | Type: Button | ID: 4  | Name: LB    | Action: PRESSED
 EVENT  | Type: Button | ID: 4  | Name: LB    | Action: RELEASED
 EVENT  | Type: Button | ID: 4  | Name: LB    | Action: PRESSED
 EVENT  | Type: Button | ID: 4  | Name: LB    | Action: RELEASED
 EVENT  | Type: Button | ID: 4  | Name: LB    | Action: PRESSED
 EVENT  | Type: Button | ID: 4  | Name: LB    | Action: RELEASED
 EVENT  | Type: Axis   | ID: 6  | Value: -32767
 EVENT  | Type: Axis   | ID: 6  | Value: 0
 EVENT  | Type: Axis   | ID: 6  | Value: -32767
 EVENT  | Type: Axis   | ID: 6  | Value: 0
 EVENT  | Type: Axis   | ID: 7  | Value: -32767
 EVENT  | Type: Axis   | ID: 7  | Value: 0
